Sample,Species,Host,Country
SRX5400127,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400126,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400125,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400124,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400123,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400122,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400121,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400120,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400119,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400118,BOVINE-UK,RESERVOIR,United Kingdom
