Sample,Species,Host,Country,Domesticated,
SRX2527152,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527153,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527154,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527155,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527156,PORCINE-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,DOMESTICATE
SRX2527157,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527158,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527159,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527160,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527161,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527162,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527163,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527164,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527165,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527166,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527167,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527168,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527169,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527170,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527171,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527172,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527173,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527174,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527175,CERVINE-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527176,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527177,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527178,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527179,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527180,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527181,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527182,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527183,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527184,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527185,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527186,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527187,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527188,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527189,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527190,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527191,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527192,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527193,CERVINE-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527194,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527195,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2995962,WTD-Michigan,RESERVOIR,USA,WILDLIFE,WILDLIFE
